County,SiteId,PM2.5,SiteName
彰化縣,35,16,二林
新北市,67,14,三重
苗栗縣,27,11,三義
新北市,5,12,土城
臺北市,11,5,士林
臺北市,16,19,大同
臺中市,30,6,大里
桃園市,18,20,大園
高雄市,51,16,大寮
高雄市,58,24,小港
臺北市,12,20,中山
桃園市,68,17,中壢
高雄市,49,14,仁武
雲林縣,37,6,斗六
宜蘭縣,66,15,冬山
臺北市,14,10,古亭
高雄市,54,14,左營
桃園市,20,11,平鎮
新北市,70,13,永和
臺南市,45,25,安南
嘉義縣,40,10,朴子
新北市,2,21,汐止
南投縣,69,4,竹山
新竹縣,23,ND,竹東
臺中市,32,8,西屯
臺中市,29,8,沙鹿
宜蘭縣,65,20,宜蘭
臺中市,31,15,忠明
臺北市,15,18,松山
新北市,6,15,板橋
新北市,9,12,林口
高雄市,52,25,林園
花蓮縣,63,23,花蓮
金門縣,77,16,金門
高雄市,56,11,前金
高雄市,57,13,前鎮
南投縣,36,11,南投
屏東縣,59,12,屏東
屏東縣,204,12,屏東(琉球)
屏東縣,61,7,恆春
高雄市,47,7,美濃
苗栗縣,26,18,苗栗
苗栗縣,203,10,苗栗(後龍)
南投縣,72,10,埔里
桃園市,17,13,桃園
桃園市,312,13,桃園(觀音工業區)
澎湖縣,78,ND,馬公
連江縣,75,23,馬祖
基隆市,1,16,基隆
雲林縣,38,14,崙背
新北市,10,20,淡水
雲林縣,83,15,麥寮
臺南市,44,4,善化
新北市,84,16,富貴角
高雄市,71,13,復興
新竹縣,22,3,湖口
新北市,8,17,菜寮
臺北市,64,10,陽明
新竹市,24,10,新竹
新北市,4,8,新店
新北市,7,10,新莊
嘉義縣,39,13,新港
臺南市,43,8,新營
高雄市,53,16,楠梓
新北市,3,16,萬里
臺北市,13,10,萬華
嘉義市,42,ND,嘉義
彰化縣,33,11,彰化
彰化縣,202,13,彰化(大城)
雲林縣,41,14,臺西
臺東縣,62,15,臺東
臺南市,46,,臺南
臺南市,201,8,臺南(麻豆)
高雄市,50,23,鳳山
屏東縣,60,11,潮州
彰化縣,34,10,線西
高雄市,48,15,橋頭
苗栗縣,25,8,頭份
桃園市,21,15,龍潭
臺中市,28,11,豐原
臺東縣,80,10,關山
桃園市,19,18,觀音
